galaxy,variant,n_points,r_max_kpc,distance_mpc,rmse_DeltaX_absolute,rmse_DeltaX_shape,rmse_DeltaX_shape_inner,rmse_DeltaX_shape_outer,rmse_V_absolute,rmse_V_scaled,V_scale_alpha,median_DeltaX_obs,median_DeltaX_pred
NGC4157,full,17,29.61,18.0,0.14254594808881782,0.06448350500926192,0.07547210081890135,0.04775524182448336,27.097374675095104,12.520415961311198,0.8832593836614954,0.9830079332344971,1.180311431156888
NGC4183,full,23,21.02,18.0,0.3717066240709849,0.20496949903437048,0.2228675224111733,0.051705365786092944,23.647564424808568,11.297356991126229,1.2536760218194445,1.4027952580033567,1.0644016849681233
NGC4214,full,14,5.63,2.87,0.7029246772229124,0.27179530028008125,0.37249117223838396,0.06494957112012262,27.357315865545644,10.060289398181869,1.51382733951611,1.7507387090515252,1.1718311419061718
NGC4217,full,19,16.72,18.0,0.24671028048316232,0.06083296742435118,0.05060649544052754,0.04183862041934405,51.014865726719,12.240445612249166,0.7762692447918469,0.8863775252602303,1.0881143403224758
NGC4389,full,6,5.32,18.0,0.3740741785375888,0.11749281794315114,0.055803704636986126,0.0757290426534077,46.035215246676984,14.106882359136481,0.6366972402855268,0.5518527083088045,0.9243637712152222
NGC4559,full,32,20.97,9.0,0.07780202924387533,0.07742593456614251,0.10519558696340081,0.029986479186695576,6.280856857130261,6.280557696384033,1.0005480445867379,1.166062811936749,1.1762437590520038
NGC5005,full,18,11.47,16.9,0.3868166185860814,0.1467725444029742,0.1520222211126756,0.028759010784498495,116.80296311347193,41.60747959273878,0.6955280096577368,0.8222555795259072,1.1769986538311983
NGC5033,full,22,44.59,15.7,0.13388644676077083,0.06731802812236785,0.08283613911967896,0.03666794866859343,28.249971831387903,17.767434802127926,1.1161126196885143,1.3352448054920034,1.2135395782443998
NGC5055,full,28,54.59,9.9,0.23895139166334547,0.08503612407785888,0.11209444212642349,0.03372292367727054,44.040959096392385,19.622383475408714,0.8258671930580157,0.9232722830864033,1.211294403075165
NGC5371,full,19,46.24,39.7,0.3581194973888117,0.2134167960580112,0.23558346883871423,0.034430412678806546,86.82795798134211,51.06106503722458,0.7544237533225483,0.8833381896545248,1.1818358322001936
NGC5585,full,24,10.96,7.06,0.1743570634823823,0.16805423358333738,0.22702678420853886,0.06812826518169457,5.569979338894464,5.388316188252612,1.0214584107483635,1.1901917828115742,1.2102916760333688
NGC5907,full,19,50.33,17.3,0.15587357737600663,0.13916042537548506,0.1748897142456144,0.03674257632512523,30.16461271899057,26.564165502962766,1.0694332902907107,1.202724089818346,1.1575948477038907
NGC5985,full,33,34.72,39.7,0.35165119126258576,0.25997040835814306,0.23146867589560866,0.07457315776023138,65.18843268685721,47.58439231231567,1.187545518186947,1.3804891868485107,1.1117831222837247
NGC6015,full,44,29.23,17.0,0.27206125952938875,0.19940034928793557,0.2577033481376651,0.07965312314111565,25.64282952812527,18.85374160654052,1.1367422892975374,1.2099211501594065,1.1970243736481871
NGC6195,full,23,36.43,127.8,0.30635376028355565,0.1402354240742604,0.14904029312390973,0.06229470286603617,84.14574612319387,38.258077751963086,0.7624830004188026,0.8491983719316956,1.130267570970587
NGC6503,full,31,23.5,6.26,0.3952231733942249,0.10956452687562257,0.12646905538884268,0.05378998862181346,27.148851810916543,8.450001303834725,1.2917517534922338,1.5874054561665487,1.2135605935200313
NGC6674,full,15,72.41,51.2,0.3513239661092158,0.14489574159478014,0.1857271053731878,0.06324873646064677,65.22520169089317,31.45320550222596,1.2980930298822895,1.4001080345856867,1.1655497081254182
NGC6789,full,4,0.71,3.52,1.1644428934612747,0.40344698338261425,,,25.435696145144775,8.69684353855496,2.4262006959260383,1.8609954478918942,0.8311245146056695
NGC6946,full,58,20.4,5.52,0.2220402372469524,0.1086690216436461,0.14034681756950246,0.01767200040443619,37.01227328718522,20.30631030855491,0.8401843069893148,0.9391161253223281,1.1850235695619995
NGC7331,full,36,36.31,14.7,0.24016428776698803,0.05305135761127486,0.05727066341945982,0.04845553517334703,60.77023750004667,15.884552987139015,0.8045612036437669,0.9006799693352254,1.2063603776283127
NGC7793,full,46,7.87,3.61,0.33658541720665053,0.20971966907969727,0.16005893060689394,0.05915113698681787,28.964476477144558,11.494391537219308,0.7496560080873379,0.9941730802439515,1.2115441977980073
NGC7814,full,18,19.53,14.4,0.10912220581747291,0.07289215393465719,0.09460858923274361,0.03808003748034945,29.2349871176127,22.519882378580398,1.0908291376265973,1.2087694537299216,1.175055921990158
PGC51017,full,6,3.63,13.6,0.4947316149834012,0.48434282749840935,0.5366031705142151,0.024436224889139012,7.3363182852879625,6.290749579384537,0.8276307539752447,0.8743036160286559,1.0088910725787588
UGC00128,full,22,53.75,64.5,0.9939977188396781,0.24376185126425143,0.2642984924210447,0.08524322095475459,55.19386025181835,12.566987113186489,1.8123348595848754,2.045838936432385,1.1818139560993757
UGC00191,full,9,9.98,17.1,0.4150415724124109,0.25946834441393757,0.11215309540538565,0.20295467245134435,14.412322009443159,9.967818255176367,1.2050727851948662,1.5913010282942333,0.983461576737575
UGC00634,full,4,18.01,30.9,1.1189742143770465,0.2951123987532198,,,54.99184989528361,14.023128159707474,2.242374827619512,1.9805313514308636,0.8683042483574737
UGC00731,full,12,10.91,12.5,1.820164003294397,0.8597946752262556,0.8733870259443445,0.10079021016152179,36.37160991702054,12.180824706339113,2.2329248528642287,2.6092864949019137,0.9805366392545319
UGC00891,full,5,7.39,10.2,0.8972358271454147,0.22330836352310363,0.2398125665761933,,24.885905386099935,5.216968853113293,1.9149790825389292,1.820100719219545,0.9098908437701454
UGC01230,full,11,36.54,53.7,0.6151434914424998,0.3604739579312366,0.16648155635927905,0.19864653979038402,32.439755309913885,19.156904101290788,1.3864919050603548,1.851603202238222,1.1158398614113836
